x
344	PSMB2
345	ZIC1
346	ASMTL
347	DCTN3
348	POLB
349	TTYH2
350	SNX21
351	IL13RA1
352	DNAJA4
353	KCNJ4
354	ZBTB47
355	TSR2
356	TIA1
357	MOG
358	HARS1
359	FHL5
360	FLJ42627
361	TIE1
362	MAP2K4
363	GYG2
364	MAPK1
365	PRKCB
366	SART1
367	SPOP
368	TMIGD2
369	KCNMB1
370	NDUFS3
371	MGLL
372	PLXNA4
373	CELSR2
374	EFR3A
375	DENR
376	PFN2
377	TCTN2
378	SYNE1
379	LYNX1
380	FSCN2
381	ZNF236
382	OTUB1
383	TPM3
384	CELF5
385	CHST11
386	RASGEF1A
387	ZNF844
388	MTMR6
389	RABGGTB
390	MICOS10P1
391	NISCH
392	CAPN13
393	HTRA2
394	ATXN10
395	LINC01887
396	GRK3
397	NOP16
398	SLC35F2
399	PAXIP1
400	KPNA6
401	BEX5
402	CACNA2D1
403	AMD1
404	PDLIM5
405	DUSP15
406	HERC2P3
407	TTL
408	SP100
409	CAP2
410	BEX1
411	ADAM30
412	PRDM16-DT
413	GALNT7-DT
414	LINC01649
415	CCAR1
416	ZNF548
417	ENC1
418	MYOSLID-AS1
419	TOMM34
420	CDK13
421	SLC7A1
422	RAB3IP
423	NECTIN1
424	ZNF514
425	RAB15
426	ZADH2
427	ASAH2B
428	SAC3D1
429	ACOX1
430	DIP2B
431	NUP93
432	CCNJ
433	SEZ6L
434	TAFA1
435	RER1
436	RMI1
437	FOSB
438	DCN
439	C1orf21
440	TDRD3
441	ADAMTS10
442	PPP4R4
443	TIMELESS
444	GABRB3
445	CDC25C
446	ANKRD11
447	SPRYD3
448	THBS4
449	THY1
450	HRH3
451	ATAD2
452	PRKAR1A
453	PRICKLE2
454	MRGPRX3
455	PPP3R2
456	KCNJ6
457	ATCAY
458	CES3
459	FKSG49
460	YWHAB
461	ALDH5A1
462	LONRF2
463	OCIAD1
464	BASP1
465	MIR100HG
466	ACTR3B
467	GTF3C5
468	CLDND1
469	USP12
470	SLC6A15
471	GPR26
472	GLS
473	SLC8A1-AS1
474	RPL10
475	MAX
476	WDR91
477	MOCS2
478	ARRB1
479	FGF13
480	TAS2R40
481	PM20D2
482	LOC100507560
483	CTD-2350J17.1
484	HTR2C
485	ARHGAP20
486	GMPS
487	OSBPL6
488	CHD5
489	NEK6
490	H1-3
491	IL13RA1
492	LMOD1
493	RRAGB
494	ZMIZ1
495	MTREX
496	ZNF280B
497	MTUS1
498	DIAPH2
499	C12orf29
500	SERPINI1
501	CCDC184
502	CCNJ
503	CRYL1
504	ADAR
505	LOC100506675
506	GPR26
507	NSF
508	CXXC1
509	PLCL2
510	EXOSC7
511	UHMK1
512	TM2D3
513	WBP4
514	SMIM17
515	FOXE1
516	TAOK2
517	PRICKLE1
518	ATP5MF
519	KDM1A
520	COL5A2
521	CLASP2
522	TMTC4
523	PLXNA3
524	ZNF75D
525	GARS1-DT
526	STAU2
527	AGBL4
528	LOC101926907
529	TMEM178B
530	DDX23
531	TCF4
532	TMEM41B
533	ZNF512
534	ASNS
535	SGMS1
536	SPAG8
537	ZNF835
538	TMEM147-AS1
539	SLC17A7
540	TOX3
541	DIRAS2
542	TGFBR3
543	TMEM165
544	HBB
545	FDFT1
546	RPL35A
547	TP53BP1
548	SCAF4
549	LINC01013
550	WBP4
551	RBFOX3
552	ACOT7
553	SLC11A2
554	KIAA1191
555	HSD17B12
556	CNIH3
557	HSPB6
558	ELAVL1
559	CDK19
560	DOLK
561	PRKCQ-AS1
562	LINC01600
563	UACA
564	SNX8
565	SLC17A7
566	XRCC6
567	ATP6V1H
568	FKBP1A
569	FKBP1A
570	NPR2
571	PACSIN1
572	INSYN2A
573	VAMP2
574	RBCK1
575	SEZ6L
576	TTC39C
577	UBE2M
578	SH3PXD2A
579	SH2D5
580	SH3BP2
581	SEPTIN12
582	WNT5A
583	TMED5
584	JAK2
585	SLC30A3
586	YTHDC1
587	MFSD4A
588	OTUD7B
589	UBE2K
590	FTO
591	GLRB
592	HINT1
593	PXK
594	POP7
595	SLC22A5
596	RPP25
597	FAM13B
598	RAB2A
599	PLCB1
600	AIG1
601	EMC4
602	SRSF12
603	KCNJ6
604	GAB1
